drink_name,calories
"Bbc -Chai (Oatly 12 Oz +ot, For +ere)",130
"BBC -Muscovado Latte (Battenkill Nonfat, For -Here)",130
BBC Cappuccino (Battenkill Whole Milk) - To Go,130
Bbc -Chai (*oodmylk  Allmond Original 12 Oz +ot),130
Bbc -Chai (*oodmylk  Allmond Original 12 Oz Iced),130
"BBC -Iced Muscovado Sugar Latte, 2atly",130
Bbc -Juniper Latte Iced (Goodmylk  Almond),130
"BBC -Muscovado Latte (Clover Nonfat, For Here)",130
BBC -Tea -Matcha To Go Clover Nonfat,130
BBC -Tea -Matcha To Go Battenkill Skim,130
BBC Latte (Battenkill Skim) -To Go,130
BBC - Tea - Matcha Iced Latte 1 oz Clover Whole10:01 AM 4/11/2024,130
BBC Latte (Clover Skim) -To Go,130
"Bbc -Chai (Battenkill Whole 12 Oz +ot, For +ere)",140
"Bbc -Juniper Latte (Clover Nonfat, +ot)",140
"Bbc -Chai (South Mountain Creamery Whole 12 Oz +ot, For +ere)",140
"Bbc -Juniper Latte (Battenkill Nonfat, +ot)",140
"Bbc -Chai (Five  Acre Farms Whole 12 Oz +ot, For +ere)",140
Bbc -Chai (Califia  Almond Milk 1 Oz Iced),140
"Bbc -Chai (Prairie Farms Whole 12 Oz +ot, For +ere)",140
BBC Cappuccino (Clover Whole Milk) -To Go,140
Bbc -Chai (Oatly 12 Oz +ot),150
Bbc -Chai (Prairie Farms Nonfat 1 Oz Iced),150
Bbc -Chai (Prairie Farms Whole 12 Oz +ot),150
Bbc -Chai (Califia  Almond Milk 1 Oz +ot),150
BBC Latte (Mylk  Almond Milk) -To Go,150
Bbc -Chai (Oatly 12 Oz Iced),150
"Bbc -Muscovado Latte (Good Mylk), For Here",150
Bbc -Chai (Five  Acre Farms Whole 12 Oz +ot),150
Bbc -Chai (Clover Nonfat 1 Oz Iced),160
"concentrate (water, organic coffee), baking sodaBlue Bottle Coffee",160
Bbc -Chai (Battenkill Nonfat 1 Oz Iced),160
Bbc -Chai (Five  Acre Farms Whole 12 Oz Iced),160
Bbc -Chai (South Mountain Creamery Nonfat 1 Oz Iced),160
Bbc -Chai (Five  Acre Farms Nonfat 1 Oz Iced),160
Bbc -Chai (Battenkill Whole 12 Oz Iced),160
Bbc -Chai (South Mountain Creamery Whole 12 Oz Iced),160
Bbc -Chai (Prairie Farms Whole 12 Oz Iced),160
Bbc -Juniper Latte Iced (Oatly),160
"BBC -Muscovado Latte (Battenkill Nonfat,  To Go)",160
BBC -Tea -Matcha Iced Latte 12Oz Clover Whole,160
Bbc -Chai (Clover Whole 12 Oz +ot),160
Bbc -Chai (South Mountain Creamery Whole 12 Oz +ot),160
"Coffee, Water, Organic Cane Suga r, Filtered",160
Bbc -Chai (Clover Whole 12 Oz Iced),160
"Coffee, Chocolate (Cacao Beans, Cane",160
BBC Latte (2atly) -For Here,160
Bbc -Chai (Battenkill Nonfat 1 Oz +ot),160
"BBC -Muscovado Latte (Clover Nonfat,  To Go)",160
Bbc -Chai (Five  Acre Farms Nonfat 1 Oz +ot),160
